stacja;lat;lon;miasto;temperatura;predkosc_wiatru
12295;53.127505049999996;23.147050870161664;Bia³ystok;4;4
12600;49.822118;19.0448936;Bielsko Bia³a;2.7;3
12235;53.6999165;17.570344138115953;Chojnice;6.1;8
12550;50.8120466;19.113213;Czêstochowa;3;4
12160;54.1558708;19.4044583;Elbl¹g;4.4;8
12155;54.3706858;18.61298210330077;Gdañsk;4.2;11
12300;51.0281551;18.4222682;Gorzów;6.4;4
12135;60.32181555;24.94736111181276;Hel;5.4;9
12500;50.9031028;15.7344306;Jelenia Góra;2.2;3
12435;51.74736505;18.079590087700034;Kalisz;3.4;8
12650;49.2318014;19.9815609;Kasprowy Wierch;-3.7;4
12560;50.2598987;19.0215852;Katowice;3.3;3
12185;54.0819763;21.376828104006;Kêtrzyn;4.7;5
12570;50.85402845;20.60991568734511;Kielce;5.1;4
12520;50.43371175;16.642246491692106;K³odzko;2.2;4
12345;52.2019866;18.6359912;Ko³o;1;4
12100;54.176211550000005;15.57640369780165;Ko³obrzeg;4.8;13
12105;54.19092;16.17707;Koszalin;5.6;7
12488;51.5849678;21.549883;Kozienice;4.8;5
12566;50.0619474;19.9368564;Kraków;4.7;4
12670;49.68898435;21.75347880451494;Krosno;8.4;3
12415;51.204768900000005;16.174675034638256;Legnica;4.1;4
12690;49.4689014;22.3303816;Lesko;9.6;3
12418;51.8436068;16.58042182076424;Leszno;5.2;6
12125;54.53338035;17.744782998918133;Lêbork;5.6;7
12495;51.250559;22.5701022;Lublin;4.6;5
12120;54.7604388;17.531376945616415;£eba;4.7;8
12465;51.7687323;19.4569911;£ódŸ;3.2;4
12280;53.7981816;21.5772462;Miko³ajki;3.8;7
12270;53.13419145;20.362882994720415;M³awa;2.9;6
12660;49.61030395;20.714936589668028;Nowy S¹cz;7.2;3
12272;53.7767239;20.477780523409734;Olsztyn;4.2;5
12530;50.6668184;17.9236408;Opole;4;4
12285;53.078032;21.574868563752748;Ostro³êka;3.7;4
12230;53.1511324;16.7380343;Pi³a;7.2;5
12001;50.43339845;30.507225857683157;Platforma;3.1;15
12360;52.5464521;19.7008606;P³ock;2.6;5
12330;52.4006632;16.91973259178088;Poznañ;5.6;7
12695;49.78355525;22.78851130307014;Przemyœl;8.5;2
12540;50.090525150000005;18.21514950291531;Racibórz;4.2;6
12210;53.7733969;15.4056058;Resko;5.8;8
12580;50.0374531;22.0047174;Rzeszów;8.3;4
12585;50.6793066;21.7495055;Sandomierz;6.5;4
12385;52.161593800000006;22.281253302988254;Siedlce;3.9;5
12310;52.3557481;14.5662367;S³ubice;6.2;6
12469;51.3549202;19.8890802;Sulejów;3.3;5
12195;54.102712499999996;22.931878217494493;Suwa³ki;3.8;6
12205;53.4301818;14.5509623;Szczecin;6.7;7
12215;53.70234205;16.70713424642978;Szczecinek;7.3;6
12510;50.7359438;15.7397826;Œnie¿ka;-6.4;15
12200;53.9097477;14.2510703;Œwinoujœcie;4.9;12
12575;50.025988299999995;20.96405842696229;Tarnów;7.2;2
12399;52.0765155;23.62223356965026;Terespol;4.9;4
12250;53.0102721;18.6048094;Toruñ;4.3;5
12115;54.5734467;16.859180576172207;Ustka;4.3;14
12375;52.2319581;21.0067249;Warszawa;4;4
12455;51.2205345;18.5701081;Wieluñ;3.7;4
12497;51.54127795;23.529036806689675;W³odawa;5;6
12424;51.1089776;17.0326689;Wroc³aw;4.6;4
12625;49.2969446;19.950659;Zakopane;1.5;1
12595;50.721273;23.259588703837892;Zamoœæ;4.9;6
12400;51.9383777;15.5050408;Zielona Góra;4.1;4
